 Occurs     Accum   Support    Confid      Lift                                                                         Sequence
       73        73 0.3379630 0.4709677 0.4962392                                                                    (5)->(6)->(5) 
       74        74 0.3425926 0.4774194 0.5030370                                                                    (5)->(6)->(6) 
       73        73 0.3379630 0.4709677 0.4986717                                                                    (5)->(6)->(7) 
       75        75 0.3472222 0.4838710 0.5049088                                                                    (5)->(6)->(8) 
       73        73 0.3379630 0.4709677 0.4844240                                                                    (5)->(6)->(9) 
      155       634 0.7175926 0.7560976 0.8005739                                                                         (5)->(7) 
       65        65 0.3009259 0.4193548 0.4551791                                                                    (5)->(7)->(4) 
       69        69 0.3194444 0.4451613 0.4690480                                                                    (5)->(7)->(5) 
       70        70 0.3240741 0.4516129 0.4758458                                                                    (5)->(7)->(6) 
       73        73 0.3379630 0.4709677 0.4986717                                                                    (5)->(7)->(7) 
       69        69 0.3194444 0.4451613 0.4645161                                                                    (5)->(7)->(8) 
       76        76 0.3518519 0.4903226 0.5043318                                                                    (5)->(7)->(9) 
      158       611 0.7314815 0.7707317 0.8042418                                                                         (5)->(8) 
       75        75 0.3472222 0.4746835 0.5152344                                                                    (5)->(8)->(4) 
       73        73 0.3379630 0.4620253 0.4868169                                                                    (5)->(8)->(5) 
       75        75 0.3472222 0.4746835 0.5001544                                                                    (5)->(8)->(6) 
       78        78 0.3611111 0.4936709 0.5227103                                                                    (5)->(8)->(7) 
       75        75 0.3472222 0.4746835 0.4953220                                                                    (5)->(8)->(8) 
       76        76 0.3518519 0.4810127 0.4947559                                                                    (5)->(8)->(9) 
      158       646 0.7314815 0.7707317 0.7927526                                                                         (5)->(9) 
       68        68 0.3148148 0.4303797 0.4671459                                                                    (5)->(9)->(4) 
       71        71 0.3287037 0.4493671 0.4734795                                                                    (5)->(9)->(5) 
       72        72 0.3333333 0.4556962 0.4801482                                                                    (5)->(9)->(6) 
       78        78 0.3611111 0.4936709 0.5227103                                                                    (5)->(9)->(7) 
       79        79 0.3657407 0.5000000 0.5217391                                                                    (5)->(9)->(8) 
       74        74 0.3425926 0.4683544 0.4817360                                                                    (5)->(9)->(9) 
      205      4160 0.9490741       N/A       N/A                                                                              (6) 
      125       125 0.5787037 0.6097561 0.7357951                                                                        (6)->(10) 
      106       106 0.4907407 0.5170732 0.6937131                                                                         (6)->(3) 
      145       487 0.6712963 0.7073171 0.7677411                                                                         (6)->(4) 
       70        70 0.3240741 0.4827586 0.5086627                                                                    (6)->(4)->(6) 
       67        67 0.3101852 0.4620690 0.4892495                                                                    (6)->(4)->(7) 
       65        65 0.3009259 0.4482759 0.4677661                                                                    (6)->(4)->(8) 
       67        67 0.3101852 0.4620690 0.4752709                                                                    (6)->(4)->(9) 
      154       586 0.7129630 0.7512195 0.7915289                                                                         (6)->(5) 
       71        71 0.3287037 0.4610390 0.5004242                                                                    (6)->(5)->(4) 
       69        69 0.3194444 0.4480519 0.4720938                                                                    (6)->(5)->(5) 
       77        77 0.3564815 0.5000000 0.5268293                                                                    (6)->(5)->(6) 
       82        82 0.3796296 0.5324675 0.5637892                                                                    (6)->(5)->(7) 
       74        74 0.3425926 0.4805195 0.5014116                                                                    (6)->(5)->(8) 
       81        81 0.3750000 0.5259740 0.5410019                                                                    (6)->(5)->(9) 
      155       518 0.7175926 0.7560976 0.7966686                                                                         (6)->(6) 
       65        65 0.3009259 0.4193548 0.4551791                                                                    (6)->(6)->(4) 
       70        70 0.3240741 0.4516129 0.4758458                                                                    (6)->(6)->(5) 
       69        69 0.3194444 0.4451613 0.4690480                                                                    (6)->(6)->(6) 
       76        76 0.3518519 0.4903226 0.5191651                                                                    (6)->(6)->(7) 
       76        76 0.3518519 0.4903226 0.5116410                                                                    (6)->(6)->(8) 
       77        77 0.3564815 0.4967742 0.5109677                                                                    (6)->(6)->(9) 
      143       502 0.6620370 0.6975610 0.7385940                                                                         (6)->(7) 
       65        65 0.3009259 0.4545455 0.4789357                                                                    (6)->(7)->(5) 
       70        70 0.3240741 0.4895105 0.5157769                                                                    (6)->(7)->(6) 
       76        76 0.3518519 0.5314685 0.5627314                                                                    (6)->(7)->(7) 
       65        65 0.3009259 0.4545455 0.4743083                                                                    (6)->(7)->(8) 
       75        75 0.3472222 0.5244755 0.5394605                                                                    (6)->(7)->(9) 
      152       606 0.7037037 0.7414634 0.7737010                                                                         (6)->(8) 
       66        66 0.3055556 0.4342105 0.4713039                                                                    (6)->(8)->(4) 
       65        65 0.3009259 0.4276316 0.4505777                                                                    (6)->(8)->(5) 
       72        72 0.3333333 0.4736842 0.4991014                                                                    (6)->(8)->(6) 
       71        71 0.3287037 0.4671053 0.4945820                                                                    (6)->(8)->(7) 
       67        67 0.3101852 0.4407895 0.4599542                                                                    (6)->(8)->(8) 
       70        70 0.3240741 0.4605263 0.4736842                                                                    (6)->(8)->(9) 
      160       612 0.7407407 0.7804878 0.8027875                                                                         (6)->(9) 
       70        70 0.3240741 0.4375000 0.4748744                                                                    (6)->(9)->(4) 
       75        75 0.3472222 0.4687500 0.4939024                                                                    (6)->(9)->(5) 
       80        80 0.3703704 0.5000000 0.5268293                                                                    (6)->(9)->(6) 
       81        81 0.3750000 0.5062500 0.5360294                                                                    (6)->(9)->(7) 
       79        79 0.3657407 0.4937500 0.5152174                                                                    (6)->(9)->(8) 
       79        79 0.3657407 0.4937500 0.5078571                                                                    (6)->(9)->(9) 
      204      3827 0.9444444       N/A       N/A                                                                              (7) 
      119       119 0.5509259 0.5833333 0.7039106                                                                        (7)->(10) 
       69        69 0.3194444 0.5798319 0.5963986                                                                   (7)->(10)->(9) 
      109       109 0.5046296 0.5343137 0.7168433                                                                         (7)->(3) 
      138       339 0.6388889 0.6764706 0.7342595                                                                         (7)->(4) 
       69        69 0.3194444 0.5000000 0.5268293                                                                    (7)->(4)->(6) 
       65        65 0.3009259 0.4710145 0.4914934                                                                    (7)->(4)->(8) 
       72        72 0.3333333 0.5217391 0.5366460                                                                    (7)->(4)->(9) 
